Team,W,L,S_per_game,HD_per_game,ER_per_game,H_per_game,BB_per_game,SO_per_game,XBH_per_game,ER_per_9IP,H_per_9IP,BB_per_9IP,SO_per_9IP,HR_per_9IP,XBH_per_9IP,SO_per_batter,BB_per_batter,H_per_batter,HR_per_batter,XBH_per_batter
SK,88,55,0.3541666666666667,0.6388888888888888,3.4722222222222223,8.61111111111111,3.0277777777777777,7.583333333333333,0.6875,3.482702577199907,8.63710239145577,3.036916647318319,7.606222428604598,0.6895751102855816,0.6895751102855816,0.19989017023613398,0.07980962840929892,0.22698151198974922,0.018121911037891267,0.018121911037891267
KT,80,62,0.2569444444444444,0.4513888888888889,3.486111111111111,8.631944444444445,2.5277777777777777,7.458333333333333,0.6388888888888888,3.5102167663740196,8.691632351798617,2.545256778805066,7.509905990210552,0.6433066583793023,0.6433066583793023,0.19870490286771508,0.06734505087881591,0.2299722479185939,0.01702127659574468,0.01702127659574468
KT,76,59,0.22916666666666666,0.5138888888888888,3.576388888888889,8.166666666666666,3.3958333333333335,7.375,0.5972222222222222,3.6669303797468356,8.373417721518987,3.4818037974683542,7.561708860759493,0.6123417721518988,0.6123417721518988,0.19677598665925514,0.0906058921623124,0.2178988326848249,0.015934778580692976,0.015934778580692976
LG,87,55,0.2986111111111111,0.7430555555555556,3.3055555555555554,8.1875,3.1319444444444446,7.159722222222222,0.6527777777777778,3.3260869565217392,8.238354037267081,3.1513975155279503,7.204192546583851,0.656832298136646,0.656832298136646,0.18980117820324005,0.08302650957290132,0.21704712812960236,0.017304860088365244,0.017304860088365244
SK,80,47,0.24812030075187969,0.2556390977443609,3.7293233082706765,8.578947368421053,3.9022556390977443,7.7593984962406015,0.9774436090225563,3.680131904369332,8.465787304204452,3.85078318219291,7.657048639736192,0.964550700741962,0.964550700741962,0.19834710743801653,0.09975014414760715,0.21929655967710937,0.024985585239285027,0.024985585239285027
롯데,80,62,0.2708333333333333,0.4097222222222222,4.527777777777778,9.42361111111111,3.3125,7.611111111111111,1.125,4.5590863180794035,9.48877321109471,3.335405174423122,7.663740191127341,1.132779115841815,1.132779115841815,0.19453319133830316,0.08466453674121406,0.24085906993255235,0.02875399361022364,0.02875399361022364
KT,79,62,0.2708333333333333,0.4236111111111111,3.9166666666666665,9.208333333333334,2.8680555555555554,6.722222222222222,0.5763888888888888,3.944055944055944,9.272727272727273,2.888111888111888,6.769230769230769,0.5804195804195804,0.5804195804195804,0.17466618549260196,0.07452183327318658,0.2392638036809816,0.014976542764345001,0.014976542764345001
LG,72,58,0.2222222222222222,0.5625,3.5069444444444446,7.819444444444445,3.7847222222222223,7.416666666666667,0.5555555555555556,3.572832324502791,7.966354846317114,3.8558289442653884,7.5560097476613475,0.5659932395251946,0.5659932395251946,0.19585549238951036,0.09994498441225014,0.20649183935448376,0.014670823399963322,0.014670823399963322
NC,84,57,0.2569444444444444,0.3819444444444444,4.201388888888889,8.909722222222221,3.0277777777777777,7.340277777777778,1.0347222222222223,4.256899382378235,9.027441169572356,3.067782034242827,7.437260573840982,1.0483934016105074,1.0483934016105074,0.1909320809248555,0.078757225433526,0.23175578034682082,0.026914739884393062,0.026914739884393062
NC,83,58,0.25,0.4305555555555556,4.444444444444445,9.125,3.5833333333333335,7.965277777777778,0.9513888888888888,4.478656403079077,9.195241427571728,3.6109167249825056,8.026592022393283,0.9587123862841148,0.9587123862841148,0.20326067694488748,0.09144072301967039,0.23285486443381181,0.02427786638312954,0.02427786638312954
두산,93,50,0.25,0.3819444444444444,4.416666666666667,9.618055555555555,3.4583333333333335,6.819444444444445,0.9444444444444444,4.4468614045991295,9.683809819763828,3.4819763828464882,6.866065879428216,0.9509011808576755,0.9509011808576755,0.17355956168257336,0.088016967126193,0.24478614351360906,0.024036762106751503,0.024036762106751503
삼성,78,64,0.2847222222222222,0.8055555555555556,4.631944444444445,9.61111111111111,3.3125,6.805555555555555,1.1388888888888888,4.681796911558259,9.714553111839026,3.348151614412728,6.878802058961161,1.1511464670098268,1.1511464670098268,0.1724137931034483,0.08391977480647432,0.24349049964813513,0.028852920478536243,0.028852920478536243
키움,86,57,0.2708333333333333,0.6319444444444444,3.5625,8.979166666666666,2.576388888888889,6.833333333333333,0.4236111111111111,3.609851446442533,9.098514464425332,2.6106333072713057,6.924159499609069,0.4292415949960907,0.4292415949960907,0.18131564400221117,0.06836189423254099,0.238253178551686,0.011240095817210244,0.011240095817210244
SK,83,43,0.3412698412698413,0.5714285714285714,3.2698412698412698,8.357142857142858,3.5555555555555554,6.357142857142857,0.6190476190476191,3.221546481320591,8.233709817549956,3.5030408340573413,6.263249348392702,0.6099044309296264,0.6099044309296264,0.16498455200823892,0.09227600411946447,0.2168898043254377,0.016065911431513903,0.016065911431513903
삼성,79,52,0.24812030075187969,0.3308270676691729,3.9323308270676693,8.781954887218046,3.406015037593985,7.150375939849624,0.7744360902255639,3.944854173650687,8.809922896413006,3.416862219242373,7.173147837747234,0.7769024472008045,0.7769024472008045,0.1857784723578824,0.08849384645438563,0.22816956436804064,0.020121117405743308,0.020121117405743308
NC,83,55,0.2152777777777778,0.6111111111111112,4.583333333333333,8.972222222222221,3.798611111111111,7.284722222222222,1.0625,4.582626137941675,8.970837833667643,3.7980249961425705,7.283598210152754,1.0623360592501156,1.0623360592501156,0.1843585237258348,0.09613356766256591,0.22706502636203865,0.026889279437609843,0.026889279437609843
