Rank,Team,Year,정렬,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
101,삼성,16,19.55,144,144,503,144,2,0,65,78,34,60,1282.1,804,869,869.00,5799,1507,,,193,518,87,6,935,,8,52,5.64,6.10,6.10,5.60,1.58,19.55
102,현대,06,19.54,126,126,366,126,2,1,70,55,41,45,1114.2,426,467,467.00,4771,1053,,,69,394,71,0,816,,0,39,3.44,3.77,3.77,3.23,1.30,19.54
103,롯데,22,19.46,144,144,531,144,0,0,64,76,34,69,1280.2,633,712,712.00,5686,1373,,,84,492,80,21,1199,,1,72,4.45,5.00,5.00,3.52,1.46,19.46
104,롯데,10,19.44,133,133,409,133,7,3,69,61,21,37,1194.0,645,710,710.00,5204,1291,,,149,419,78,41,779,,3,49,4.86,5.35,5.35,4.76,1.43,19.44
105,NC,13,19.44,128,128,382,128,5,1,52,72,26,31,1144.1,503,551,551.00,4919,1077,,,96,458,94,13,857,,6,60,3.96,4.33,4.33,4.35,1.34,19.44
106,넥센,10,19.38,133,133,464,133,1,1,52,78,27,39,1185.2,600,652,652.00,5231,1162,,,122,614,95,17,832,,3,66,4.55,4.95,4.95,4.97,1.50,19.38
107,롯데,16,19.33,144,144,523,144,2,1,66,78,27,59,1266.1,792,865,865.00,5785,1486,,,161,585,78,27,1009,,5,82,5.63,6.15,6.15,5.22,1.64,19.33
108,SSG,21,19.25,144,143,516,144,0,0,66,64,25,56,1276.2,684,741,741.00,5706,1296,,,149,629,78,27,1012,,9,41,4.82,5.22,5.22,4.78,1.51,19.25
109,KIA,18,19.20,144,144,431,144,4,0,70,74,26,43,1270.2,763,826,826.00,5708,1511,,,181,445,69,28,1017,,3,65,5.40,5.85,5.85,5.14,1.54,19.20
110,삼성,06,19.03,126,126,387,126,1,0,73,50,49,65,1118.0,414,471,471.00,4699,1030,,,100,365,63,9,781,,7,21,3.33,3.79,3.79,3.51,1.25,19.03
111,SK,13,19.00,128,128,394,128,4,1,62,63,31,38,1139.0,527,571,571.00,4932,1091,,,101,505,70,15,878,,5,66,4.16,4.51,4.51,4.43,1.40,19.00
