Rank,Team,Year,정렬,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
33,삼성,14,26.76,128,128,415,128,3,1,78,47,35,65,1144.0,575,621,621.00,4990,1217,,,120,395,61,11,996,,3,51,4.52,4.89,4.89,4.48,1.41,26.76
34,삼성,18,26.68,144,144,473,144,0,0,68,72,33,56,1285.1,741,802,802.00,5740,1477,,,185,441,107,10,1114,,5,45,5.19,5.62,5.62,5.16,1.49,26.68
35,두산,17,26.55,144,144,446,144,3,2,84,57,35,46,1288.0,627,678,678.00,5682,1405,,,125,464,87,11,956,,4,54,4.38,4.74,4.74,4.78,1.45,26.55
36,두산,18,26.43,144,144,471,144,1,0,93,51,41,56,1288.2,713,756,756.00,5700,1401,,,154,476,109,17,1025,,2,72,4.98,5.28,5.28,5.13,1.46,26.43
37,롯데,20,26.13,144,144,545,144,1,0,71,72,25,59,1277.1,659,720,720.00,5583,1351,,,143,447,58,25,1002,,4,62,4.64,5.07,5.07,4.48,1.41,26.13
38,LG,23,26.11,144,144,593,144,0,0,86,56,37,92,1293.1,527,610,610.00,5619,1266,,,74,491,76,15,977,,5,47,3.67,4.24,4.24,3.98,1.36,26.11
39,삼성,20,25.97,144,144,554,144,3,1,64,75,25,80,1272.1,676,745,745.00,5634,1330,,,151,542,67,16,931,,5,55,4.78,5.27,5.27,4.95,1.47,25.97
40,LG,17,25.76,144,144,475,144,4,1,69,72,32,66,1279.0,611,677,677.00,5507,1305,,,124,379,102,31,1040,,3,81,4.30,4.76,4.76,4.38,1.32,25.76
41,KIA,17,25.39,144,144,438,144,5,2,87,56,33,46,1290.0,687,743,743.00,5748,1518,,,137,434,77,22,985,,4,69,4.79,5.18,5.18,4.71,1.51,25.39
42,롯데,24,25.31,144,144,574,144,1,1,66,74,30,58,1280.2,719,791,791.00,5767,1442,,,139,523,75,18,1131,,3,81,5.05,5.56,5.56,4.64,1.53,25.31
43,키움,22,25.28,144,144,505,144,2,1,80,62,48,84,1296.1,546,610,610.00,5579,1247,,,96,490,70,18,1010,,1,51,3.79,4.24,4.24,4.03,1.34,25.28
44,두산,07,25.26,126,126,371,126,6,4,70,54,30,42,1131.1,434,480,480.00,4814,1067,,,74,399,75,24,721,,4,43,3.45,3.82,3.82,3.59,1.30,25.26
45,KIA,24,25.23,144,144,602,144,4,1,87,55,44,89,1288.0,629,759,759.00,5771,1365,,,141,539,85,13,1125,,3,51,4.40,5.30,5.30,4.76,1.48,25.23
46,키움,20,25.09,144,144,586,144,0,0,80,63,42,81,1280.1,624,692,692.00,5556,1336,,,126,446,73,16,950,,7,51,4.39,4.86,4.86,4.49,1.39,25.09
47,두산,21,25.08,144,144,514,144,2,1,71,65,28,61,1269.1,601,656,656.00,5631,1295,,,104,587,73,16,1045,,7,52,4.26,4.65,4.65,4.19,1.48,25.08
48,SK,11,24.53,133,133,429,133,1,0,71,59,37,63,1192.1,476,522,522.00,5032,1001,,,93,541,65,24,1006,,3,64,3.59,3.94,3.94,3.94,1.29,24.53
49,두산,20,24.30,144,144,512,144,1,0,79,61,23,45,1285.2,616,695,695.00,5681,1395,,,109,478,61,22,1046,,4,52,4.31,4.87,4.87,4.20,1.46,24.30
50,SK,07,24.17,126,126,462,126,1,0,73,48,36,77,1139.1,412,465,465.00,4852,1079,,,77,445,67,27,650,,1,28,3.25,3.67,3.67,3.91,1.34,24.17
51,SK,16,24.07,144,144,456,144,1,0,69,75,31,43,1274.0,689,784,784.00,5659,1386,,,151,527,76,18,945,,7,65,4.87,5.54,5.54,5.15,1.50,24.07
52,롯데,12,24.04,133,133,465,133,3,1,65,62,39,63,1190.1,461,518,518.00,5070,1145,,,74,469,53,20,825,,1,65,3.49,3.92,3.92,3.78,1.36,24.04
53,NC,17,24.00,144,144,476,144,1,0,79,62,32,51,1284.2,673,745,745.00,5640,1342,,,169,470,93,12,1097,,3,93,4.71,5.22,5.22,4.94,1.41,24.00
54,넥센,15,23.95,144,144,443,144,1,1,78,65,29,44,1286.0,701,790,790.00,5709,1404,,,146,518,81,8,1066,,4,85,4.91,5.53,5.53,4.76,1.49,23.95
55,넥센,18,23.90,144,144,447,144,4,1,75,69,32,72,1282.0,723,780,780.00,5646,1442,,,178,416,98,13,1021,,4,59,5.08,5.48,5.48,5.17,1.45,23.90
56,LG,20,23.81,144,144,509,144,2,2,79,61,29,67,1292.2,627,694,694.00,5655,1344,,,123,493,86,12,1019,,4,49,4.37,4.83,4.83,4.51,1.42,23.81
57,LG,13,23.63,128,128,451,128,4,2,74,54,42,86,1134.2,469,510,510.00,4848,1131,,,74,406,87,27,822,,2,46,3.72,4.05,4.05,4.00,1.35,23.63
58,한화,18,23.58,144,144,541,144,0,0,77,67,37,62,1274.0,698,761,761.00,5637,1394,,,164,472,89,9,1124,,7,78,4.93,5.38,5.38,4.95,1.46,23.58
59,SK,15,23.52,144,144,477,144,3,2,69,73,31,60,1280.2,670,724,724.00,5646,1358,,,153,517,70,31,1149,,4,71,4.71,5.09,5.09,4.60,1.46,23.52
60,넥센,14,23.48,128,128,401,128,0,0,78,48,35,55,1131.2,660,716,716.00,5107,1299,,,142,516,61,2,901,,4,55,5.25,5.69,5.69,5.24,1.60,23.48
61,롯데,13,23.45,128,128,409,128,1,1,66,58,38,64,1149.1,503,553,553.00,4986,1148,,,84,489,62,15,820,,0,45,3.94,4.33,4.33,4.33,1.42,23.45
62,NC,22,23.32,144,144,537,144,0,0,67,74,25,54,1286.2,557,642,642.00,5604,1230,,,111,515,98,10,1168,,5,80,3.90,4.49,4.49,3.96,1.36,23.32
63,삼성,05,23.13,126,126,426,126,2,1,74,48,37,62,1129.1,480,528,528.00,4791,1026,,,109,387,79,11,875,,5,49,3.83,4.21,4.21,3.89,1.25,23.13
64,롯데,14,23.03,128,128,425,128,0,0,58,69,28,64,1133.1,655,719,719.00,5092,1310,,,127,470,53,13,781,,1,54,5.20,5.71,5.71,5.19,1.57,23.03
65,롯데,23,22.99,144,144,547,144,1,0,68,76,35,82,1272.1,586,660,660.00,5653,1328,,,80,532,82,20,1070,,2,71,4.15,4.67,4.67,3.90,1.46,22.99
66,LG,14,22.93,128,128,446,128,2,1,62,64,35,65,1142.2,582,643,643.00,5028,1211,,,104,419,95,25,810,,1,51,4.58,5.06,5.06,4.88,1.43,22.93
67,LG,24,22.83,144,144,563,144,2,1,76,66,34,65,1277.0,657,728,728.00,5696,1375,,,126,529,80,10,1082,,4,68,4.63,5.13,5.13,4.65,1.49,22.83
